  PID TTY           TIME CMD
    1 ??         3:36.19 /sbin/launchd
   11 ??         0:12.87 /usr/libexec/UserEventAgent (System)
   12 ??         0:02.49 /usr/libexec/kextd
   13 ??         0:03.75 /usr/libexec/taskgated -s
   14 ??         0:04.92 /usr/sbin/securityd -i
   15 ??         0:20.27 /usr/sbin/notifyd
   16 ??         0:06.23 /System/Library/CoreServices/powerd.bundle/powerd
   17 ??         0:01.63 /usr/libexec/diskarbitrationd
   18 ??         0:23.64 /usr/sbin/syslogd
   19 ??         0:22.07 /usr/libexec/configd
   21 ??         0:02.02 /usr/sbin/distnoted daemon
   22 ??         0:44.96 /usr/libexec/opendirectoryd
   24 ??         0:09.50 /usr/sbin/cfprefsd daemon
   31 ??         0:00.84 com.apple.authd
   35 ??         0:52.12 /System/Library/CoreServices/coreservicesd
   57 ??         0:28.73 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/Support/fseventsd
   58 ??         0:02.89 /usr/libexec/usbd
   61 ??         0:06.36 sysmond
   70 ??         0:00.53 /usr/sbin/ntpd -c /private/etc/ntp-restrict.conf -n -g -p /var/run/ntpd.pid -f /var/db/ntp.drift
   71 ??         0:00.02 /usr/libexec/wdhelper
   72 ??         0:00.44 /usr/libexec/warmd
   73 ??         0:00.70 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
   76 ??         0:00.26 /usr/libexec/stackshot -t
   79 ??         0:00.01 /System/Library/CoreServices/SleepServicesD
   81 ??         0:01.17 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
   84 ??         0:08.82 /usr/libexec/pacemaker -b -e 0.0001 -a 10
   87 ??         4:21.43 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
   88 ??         0:15.84 /usr/sbin/mDNSResponder
   91 ??         0:23.07 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
   92 ??         0:00.05 /System/Library/CoreServices/logind
   93 ??         0:14.55 /usr/libexec/locationd
   94 ??         0:00.01 /usr/sbin/KernelEventAgent
   96 ??         2:34.80 /usr/libexec/hidd
   98 ??         0:00.03 /sbin/dynamic_pager -F /private/var/vm/swapfile
  102 ??         0:00.31 /usr/libexec/corestoraged
  103 ??         0:19.36 /System/Library/CoreServices/launchservicesd
  104 ??         0:00.41 /System/Library/CoreServices/appleeventsd --server
  108 ??         0:00.26 autofsd
  110 ??         0:00.64 /usr/libexec/aosnotifyd
  111 ??         0:26.41 /usr/libexec/ApplicationFirewall/socketfilterfw
  112 ??         0:14.93 /usr/libexec/airportd
  115 ??         0:56.23 /Applications/CrashPlan.app/Contents/MacOS/CrashPlanService -Dapp=CrashPlanService -Xmn10m -Xms15m -Xmx1024m -DappBaseName=CrashPlan -Djava.awt.headless=true -Dfile.encoding=UTF-8 -Djava.net.preferIPv4Stack=true -Dsun.net.inetaddr.ttl=300 -Dnetworkaddress.cache.ttl=300 -Dsun.net.inetaddr.negative.ttl=0 -Dnetworkaddress.cache.negative.ttl=0 -DCP_USER_NAME= -DCP_USER_HOME= -cp lib/com.backup42.desktop.jar:lang com.backup42.service.CPService CP_USER_NAME= CP_USER_HOME=
  116 ??         1:48.75 /Library/Little Snitch/Little Snitch Daemon.bundle/Contents/MacOS/Little Snitch Daemon
  122 ??        81:37.32 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/CoreGraphics.framework/Resources/WindowServer -daemon
  142 ??         3:13.83 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  143 ??         0:02.36 /usr/libexec/networkd
  144 ??         0:00.10 /usr/libexec/networkd_privileged
  147 ??         0:01.19 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  152 ??         0:00.28 com.apple.CodeSigningHelper
  169 ??         0:00.08 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  181 ??         0:22.37 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  183 ??         0:00.33 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/suhelperd
  184 ??        23:55.63 /usr/sbin/coreaudiod
  186 ??         0:00.05 com.apple.audio.DriverHelper
  192 ??         0:00.37 /usr/libexec/sandboxd -n PluginProcess -n 
  193 ??         0:00.51 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  194 ??         0:00.02 com.apple.audio.SandboxHelper
  203 ??         0:00.10 /usr/libexec/securityd_service
  204 ??         0:13.15 /sbin/launchd
  207 ??         0:14.80 /usr/libexec/UserEventAgent (Aqua)
  208 ??         0:34.90 /usr/sbin/distnoted agent
  211 ??         0:09.81 /usr/sbin/cfprefsd agent
  214 ??         1:08.90 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  215 ??         2:12.23 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  216 ??         6:11.27 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  223 ??         0:00.01 /usr/sbin/pboard
  224 ??         0:01.34 /usr/libexec/sharingd
  226 ??        11:51.27 /Library/Little Snitch/Little Snitch Agent.app/Contents/MacOS/Little Snitch Agent
  227 ??         0:01.08 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
  228 ??         0:00.12 /usr/libexec/librariand
  229 ??         0:00.39 /System/Library/PrivateFrameworks/Ubiquity.framework/Versions/A/Support/ubd
  231 ??         0:20.37 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  232 ??         0:01.75 /usr/sbin/usernoted
  234 ??       139:20.06 /Library/Little Snitch/Little Snitch Network Monitor.app/Contents/MacOS/Little Snitch Network Monitor -psn_0_57358
  237 ??         0:00.81 /usr/libexec/WiFiKeychainProxy
  238 ??         0:00.05 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
  242 ??         0:08.26 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  244 ??         0:01.22 /usr/libexec/lsboxd
  246 ??         0:00.55 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  247 ??         0:01.97 /System/Library/PrivateFrameworks/IDSCore.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  250 ??         0:00.03 /System/Library/CoreServices/AppleIDAuthAgent
  251 ??         0:03.12 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  261 ??         0:00.29 /usr/sbin/filecoordinationd
  263 ??         0:01.50 /Applications/iTunes.app/Contents/MacOS/iTunesHelper.app/Contents/MacOS/iTunesHelper
  265 ??         0:21.33 /Applications/Jumpcut.app/Contents/MacOS/Jumpcut
  266 ??         3:24.11 /Applications/Dropbox.app/Contents/MacOS/Dropbox
  268 ??         0:00.20 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
